X	arrayTrain_postMeanCollapse	htp1.5_WU_update	commercial_4x44k_postMeanCollapse_WashU_v2	commercial_1x44k_postMeanCollapse_WashU	Agilent_244K	GC.4x44Kcustom	RNAseq.V1	RNAseq.V2	RNAseq.Freeze.20120907	medians.92cases	medians.74cases	medians.58cases	medians.74.v2cases	medians.64cases	medians.56cases	medians.84cases	medians.84.v2cases	medians.92.v2cases	medians.46cases	mediansUQ.76cases	mediansUQv1pam.74cases	mediansUQ.ihc.92cases	mediansUQ.76css.07july	mediansUQv1pam.74css.07july	mediansUQ.ihc.92css.07july
ACTR3B	-0.5155	1.833329153	-0.242846154	-0.187	-0.388494218	-0.401651205	2.150463	7.787369	7.741020626	11.2804028148885	11.2709534805642	11.3235971469101	11.4043222135968	11.3209529260952	11.3127141243828	11.4118683128417	11.3128540831757	11.2583676514097	11.4535978113762	11.3049778932271	11.4601564587396	11.2811893894529	11.3832166344183	11.5720870162709	11.329181845153
ANLN	-2.479	-1.155718884	-2.51515	-0.927	-2.032012682	-1.534879954	3.161933	10.127989	10.08239391	12.5338052822864	12.5338052822864	12.4493709479927	12.237902402257	12.5540474847013	12.6559691699976	12.4006485050421	12.6128069075195	12.4048890502539	12.5512915564349	12.6954683587858	12.2629185149903	12.5017248079744	12.7818505869674	12.3763215760573	12.4856656285927
BAG1	-0.1115	-1.497888263	-0.079864865	-0.1665	-0.03725825	0.184240057	3.661344	10.2573605	10.27323957	11.6790652693169	11.6258109776294	11.7548759196608	11.7383014990878	11.776889300958	11.8194323308863	11.6583935654231	11.7163734938988	11.6582833856511	11.6604370731124	11.6242765825723	11.7163926787282	11.6726814969468	11.7234446740093	11.7935710268825	11.7586445997681
BCL2	0.622	2.487484419	1.07725	0.237	1.257524808	1.068783354	2.908344	10.1071375	9.894600585	13.9236104470155	13.9236104470155	13.8537692094024	14.0603812742085	13.9236104470155	13.7608643080877	14.0475101222686	13.8228388765819	13.9463394682799	14.2467504675681	13.8697742986593	14.0338832801896	13.8697742986593	13.9474938313004	14.0977408671281	14.0157044781617
BIRC5	-1.822	-0.283588588	-1.788589744	-0.2565	-1.088205268	-0.764309308	5.138799	8.823201	8.749377386	10.785321837824	10.9288207483776	10.9795961925594	10.5525378439777	10.8849910761562	10.9795961925594	10.6746917678364	10.979772443573	10.889796779107	10.9140474204399	11.0293750269583	10.5009022714953	10.7890195519635	11.0808227107976	10.6268883546301	11.0274736142549
BLVRA	0.039	2.353384781	0.500923077	0.071	-0.022254452	-0.087042028	5.141719	10.1090385	10.02330221	11.773133060744	11.6772960126406	11.633628286027	11.6433448594231	11.7134740951951	11.8433068272712	11.6389363227605	11.7135801410315	11.773133060744	11.633628286027	11.6428452955997	11.6467664344898	11.7183750067562	11.7371479815551	11.7237759522469	11.8050533755367
CCNB1	-2.237	0.37935647	-1.922225	-1.2715	-2.186852472	-1.805555024	4.343276	10.07328	10.07544418	11.2840642651566	11.2840642651566	11.2352076316232	11.0596007753367	11.1646053984171	11.1848134724605	11.1342808566523	11.3399925940006	11.2352076316232	11.2352076316232	11.3695891208986	11.0185895307246	11.243815047231	11.4645324886635	11.2112990829598	11.2783613682452
CCNE1	-1.0145	0.651351044	-1.159175	-0.445	-1.066005778	-1.313667734	1.080679	6.8246305	6.575216259	8.57148537290016	8.68824443950467	8.59747568016938	8.55651794955524	8.74742002361982	8.59126049972522	8.68910238248627	8.74824325343422	8.57148537290016	8.46287025547374	8.69261341017254	8.61301793232509	8.53573235527692	8.77793529649884	8.61974848420838	8.66376380480797
CDC20	-1.4325	-0.839824418	-2.337333333	-1.3615	-1.751721131	-1.42813064	4.01742	9.7024695	9.644891313	10.2734609526658	10.226243626201	10.2850801327643	10.3286779870953	10.1344940092381	10.2734609526658	10.2737482029692	10.3374558893814	10.2850801327643	10.4340580931984	10.5008844127497	10.3445796770829	10.2621324460813	10.5231067511238	10.6204479205325	10.375795689895
CDC6	-2.3195	0.71656509	-2.4434	-1.606	-2.057808926	-2.123025327	2.72016	9.004114	8.941387326	9.99267496587258	10.0120624276579	9.93763942532875	9.77099669222305	9.80318749227176	9.97501423027988	10.0124065584054	10.1315809039946	9.95789557906368	9.9949437764417	10.1893734710906	9.86933211739255	9.96633316818032	10.2743321780814	10.0307068371829	10.0428726249568
CDCA1	-2.038	1.638392758	-2.109948718	-1.417	-1.729310094	-1.683080975	2.853512	8.5259575	8.351492072	10.8217906464226	10.9223124428813	11.0662500029443	10.4528773740069	10.6576359941164	10.9903181626742	10.6679723078383	10.9384001798261	10.7119373871132	10.7216172467236	10.9619227671571	10.4822187715526	10.8310963842334	11.1028009530713	10.5965411151892	10.7840082435551
CDH3	0.632	1.366044601	0.1884861	0.532	0.296621134	1.531207949	3.537564	10.220934	10.06702348	11.399957525	11.5919330198819	11.5096674550026	11.7896666532831	11.6499850270664	11.3700085524807	11.5882775594232	11.4357509598706	11.5881618082755	11.9290597609161	11.5669164807362	11.7479176009303	11.3801367181509	11.6978144949244	11.8491788773066	11.6497151980801
CENPF	-1.879	-0.962983198	-2.009641026	-1.3315	-1.21260496	-0.768662742	3.398836	11.5313125	11.51559215	13.8019837633756	13.8019837633756	13.8781224165788	13.6581230548361	13.7575441437897	13.7794083834954	13.7280610041262	13.9116856632967	13.721050373571	13.7853304820445	13.8735237554514	13.6775571305293	13.8207225340689	13.9517856174598	13.8149009419579	13.8080967817708
CEP55	-2.04	-0.371643412	-2.079578947	-0.964	-1.204119457	-1.431361457	3.125604	9.1442315	9.052467792	10.588822053111	10.588822053111	10.6151331279715	10.3837804035171	10.4906308223313	10.6458164188598	10.5174059795333	10.6460384773165	10.5324012151457	10.5637931950908	10.6380864551291	10.32315063793	10.5796898920516	10.7206203959194	10.5056321340528	10.5975420682628
CXXC5	-0.0505	1.927138533	-0.368105263	-0.3395	0.583435937	0.481069885	3.787784	9.0423375	9.103994687	12.3239833739049	12.3502266053137	12.1831857302515	12.2836801510119	12.2854855683359	12.589385422358	12.3240528664714	12.3804737703572	12.4164447768535	12.5295792668787	12.4145306410946	12.3406238303641	12.3620508189462	12.4837297120521	12.4083514698188	12.4723816499543
EGFR	-0.045	-0.40895264	-1.61425	-0.876	-0.829362046	-0.889644121	3.07768	8.394747	8.272603427	12.8323723735299	12.8869620999265	12.8869620999265	13.203784960179	12.8889414773545	12.8484441951536	13.0317600297771	12.8870091544101	12.8372116164999	13.3171078290997	12.828954496893	13.186998816783	12.7548257554051	12.9599835532276	13.2867094806492	12.9218786597468
ERBB2	2.0265	3.373980383	2.213675	1.301	2.084875895	1.798398114	5.628712	12.383604	12.53649007	13.7596603936965	13.7130239791794	13.4455458860176	13.5007303909258	13.8363543946505	13.8455843472622	13.6636919125025	13.6730310895973	13.8142717215546	13.7506667611268	13.7011219636487	13.5442194506196	13.7296093445773	13.7941293927123	13.6008579534021	13.841843272361
ESR1	1.1185	2.916796808	0.851794872	0.5205	1.407449286	1.884679352	4.103266	11.548663	10.54897166	13.7597932020059	14.0829978664805	14.0829978664805	14.2217079261667	13.6253501237917	14.0829978664805	14.3163240984039	14.3163240984039	13.9883805400082	14.5161657634166	14.0147896921409	14.2495477513237	13.7185659421531	14.1608928284405	14.3432615890876	14.1109248597703
EXO1	-2.0815	-0.436104334	-1.7515	-1.345	-1.953058342	-1.706254175	2.019916	8.3333095	8.237287651	10.3197400567906	10.3416683319861	10.3720976568907	10.054690698375	10.2592553718413	10.3290310230978	10.2595454565771	10.3844120475813	10.1712788426344	10.1107798854578	10.3481725289637	10.0327288233135	10.2832042991199	10.4738530308327	10.1568027139821	10.2486056080649
FGFR4	-1.5571	-0.09021586	-1.17074359	-0.306	-1.008645285	-0.838117439	0.626443	6.9816875	6.923929399	8.41708292545371	8.31298996793422	8.1244202086486	8.10750128248108	8.41708292545371	8.59801570684626	8.39789209627689	8.51818606924041	8.41708292545371	7.68018346170073	8.41680406079981	8.05321059123626	8.37729089141978	8.48020253930348	8.01761390247561	8.41162573181367
FOXA1	1.7755	2.004403583	0.756825	1.38	2.892450211	3.098768018	5.764829	12.476216	12.39967935	13.8744994372861	13.4844937423134	13.1875932559676	12.4432565424878	13.3434413349922	13.4276470145489	13.0452642772763	13.2753396893771	13.837710905057	11.2929599692171	13.6589048724978	12.4456896329264	13.8490737524296	13.7718574548756	12.5368473052195	13.9038159132091
FOXC1	-0.45	1.42887446	-0.884275	-0.329	-0.140602891	-0.257162476	1.569993	7.610427	7.423572709	9.28113797855968	9.75352915669544	10.1747173569404	10.2895492021381	9.54795422699603	9.25109922654587	9.88331796313387	9.56343296469703	9.39705387934793	10.2910136221168	9.57003091265302	10.1578439736226	9.31855526359801	9.64451520847207	10.1589498767135	9.48189061087737
GPR160	0.383	5.666021198	0.879894737	0.3855	0.721157304	0.205774456	3.565155	9.7241485	9.681816867	11.811446658788	11.7649246961975	11.7273883349778	11.4113170613659	11.7649246961975	11.865476680814	11.6589862197666	11.7274933886843	11.8018167749541	10.9739283147336	11.7173609494446	11.5338686674854	11.7549365952845	11.8354995629818	11.5520567983878	11.8785623716715
GRB7	0.772	0.37176255	0.727868421	0.205	0.785288784	0.754335128	3.175525	8.9493745	9.015404737	10.5796432870643	10.5345805941483	10.367349010039	10.3982354041928	10.7013427942065	10.5454317101804	10.4474272330193	10.5798757303912	10.638789064246	10.5805364269634	10.6032521503911	10.4395073472659	10.5693108263913	10.6778094807702	10.5181499425918	10.7202320565125
KIF2C	-1.831	-0.978650592	-2.0756	-1.2595	-1.432894099	-1.910089055	2.938161	9.417261	9.263520271	10.0858281894812	10.1170604879042	10.0858281894812	9.9336031212759	10.0263806037674	10.1590579597453	10.1173805757051	10.1697340151011	10.0411235442724	9.97686617445124	10.181613407204	9.91616051157646	10.0584335243309	10.2727070635421	10.1048296150946	10.0838257215043
KNTC2	-2.0635	-0.475240357	-1.828	-1.718	-1.512434375	-1.950714547	2.541474	8.443132	8.339688581	10.2099066214277	10.2949608674363	10.277091403908	10.0531393540535	10.0433979654305	10.2759466345667	10.1456901219834	10.3223718865108	10.093991783083	10.3718618609604	10.3137068195293	10.0223504474048	10.1354776140746	10.3660335689941	10.1187859827797	10.1698667996624
KRT14	0.2785	1.238253748	-0.39615	-0.0455	0.007196464	0.476875938	3.924223	9.141061	9.092058084	9.72541438104917	10.0399296500133	9.98792392198182	10.5056566358885	9.98792392198182	9.25295460065063	10.0600283087786	9.73833491001201	9.70859683914365	10.2181823154567	10.0457055495335	10.4666965833598	9.64654128386893	10.1589906690835	10.5718167007703	9.69874096728739
KRT17	-0.459	0.246015736	-1.164825	-0.9995	-0.684369208	0.299103	5.043624	9.8528905	9.744508354	10.8837260994679	11.6803228326714	11.5868903846086	11.7102803647419	11.4081233215242	10.5488081770343	11.4543439837607	11.1705651610778	10.7369027900284	11.8932552401358	11.4096710314539	11.6450672435244	10.8525840682139	11.5118399565233	11.8117185767628	10.7785512942938
KRT5	-0.6805	2.234875966	-1.19165	-0.8565	-0.761021133	-0.370911092	4.586891	10.014502	9.79697365	10.2056889963024	10.7115087277325	10.6267719929837	10.9126585629335	10.4808984577151	9.82683754323848	10.711720926213	10.4340714345149	10.0890712069912	10.7394221129489	10.568978288992	10.8655238970477	10.1410556655644	10.6996125277415	10.9985294710667	10.0513099314186
MAPT	0	1.148998514	0.4418	0.104	0.403034349	0.224923312	2.22865	8.9984765	8.971144459	10.7362767839523	10.7362767839523	10.4493587481429	10.8256490177561	10.7362767839523	10.7362767839523	10.8256490177561	10.6140105596596	10.8970384238119	11.8673043479833	10.4203585505681	10.8218911977659	10.6982891433063	10.5306948459416	10.9192324914193	10.9569740030251
MDM2	0.2405	6.503630597	-0.272666667	-0.1375	-0.197899543	0.042182041	3.714894	10.8924155	10.89241744	13.2223720348702	13.3028810996738	13.322845552353	13.2654195792645	13.2611683202499	13.2326871544614	13.2224093207112	13.2543374011153	13.1285105514139	13.1038599453647	13.2239867338221	13.1724183188043	13.1724183188043	13.3108733061399	13.3082935683803	13.1722126601584
MELK	-1.9175	-0.787196863	-1.9323	-1.3565	-1.847675214	-2.114271587	3.051069	8.936608	8.929375595	11.4495588484499	11.4027822318603	11.4027822318603	11.1261291435217	11.4017375010151	11.5840114236132	11.3268735182726	11.5248008691707	11.3497627745679	11.2698520079757	11.5368885328795	11.0784602876793	11.4008564472857	11.6416301524268	11.2187284731644	11.3887610116882
MIA	-0.715	1.991145772	-1.043333333	-0.6455	-0.680630754	-0.971360836	0.973974	4.870818	4.470588924	7.22672826924223	7.61060727592231	7.72149005422923	7.83796263716917	7.51473823949648	6.91528152121647	7.54590410072698	7.18512341413071	7.13029277642474	8.54557494763555	7.49353522320148	7.68712659026526	7.17789196074161	7.64074396589061	7.77347985015477	7.16874080723604
MKI67	-1.6965	-0.757719431	-2.965948718	-0.733	-1.726379305	-1.421802782	3.223842	11.458783	11.30192354	12.8349465889416	12.7961051405242	12.8290855559503	12.8717432000472	12.6760301716364	12.7396553010029	12.8291345209343	12.8547326511536	12.8172284388549	12.9656743586058	12.8403886054686	12.8750763856242	12.8152296363413	12.992766227079	12.9765880697139	12.9251192029446
MLPH	0.8465	1.963068745	-0.066131579	0.101	0.984550248	1.165422546	4.913037	11.745854	11.84782705	13.979620820884	13.7144334181249	13.6533924268527	13.0168597340343	13.7613964085277	13.7860275095791	13.663224183674	13.6915210215011	13.9279730257714	12.7109969228052	13.7743970937298	12.9642491150164	13.9944193269982	13.8662747452144	13.096400721955	14.0042488650331
MMP11	3.289	6.967634333	2.892685714	2.0165	3.241462153	2.983911051	6.228427	12.273603	12.36925692	12.8864524836453	12.8225793656297	13.0504815918117	12.9811354399257	13.324212799141	12.6642597909603	12.6775430128736	12.6775430128736	13.1402160979071	12.5518897620604	12.6460352530296	12.6913938454825	12.8760448447434	12.7716644934874	12.9991523840234	13.2053819826151
MYBL2	-1.9115	-1.981576466	-1.603775	-0.397	-1.61655395	-0.891372795	3.783066	10.267481	10.12309678	11.4516605128294	11.5838763843898	11.6114365186851	11.3280008983664	11.5611250233165	11.7290079651151	11.3660919924014	11.6115503318655	11.5197963560066	11.5317305288718	11.5675855741252	11.1749398019873	11.4446123362524	11.7044515719297	11.3141855323077	11.5729755836091
MYC	-1.617	0.426752831	-2.335	-1.8795	-1.151368901	-1.056838057	5.470581	10.7286655	10.79443012	12.3470310751348	12.4149994727151	12.4687015014182	12.4047821675399	12.3008415010382	12.3341909794314	12.3827620895114	12.5067781944453	12.3136815967416	12.4465984997734	12.4056502162564	12.53460570909	12.3471060942283	12.5248567878389	12.6497782731764	12.3810974790667
NAT1	1.081	0.827508907	3.105475	0.8945	0.853039851	0.070663052	2.056371	7.8193675	7.720837976	10.2100970440638	10.2100970440638	9.93897718676009	9.58417604859575	10.2230724048863	10.1396651526999	9.78719637642762	9.93934445612695	10.1924378501781	9.84283135268416	9.88346893846707	9.70451274371092	10.1949343540347	9.96727419555167	9.64774915657619	10.2592216172193
ORC6L	-2.4095	-1.400635704	-2.7957	0.4965	-2.338159534	-1.630313602	3.192866	7.464834	7.349175497	9.24784353978495	9.2181481161721	9.22718605625429	9.21041020639045	9.24784353978495	9.20719121793557	9.21041020639045	9.30217594632446	9.29458025116756	9.13534217440292	9.26619941257613	9.12477433768406	9.22241074645958	9.38225010928967	9.2886861781175	9.34778362023643
PGR	0.648444444	1.030792302	-1.177483871	-0.905	-1.253546011	-1.340826207	-0.773159	7.2719725	6.492890662	10.1461206006348	10.155818751065	10.155818751065	10.1561303365197	10.0033100492697	9.56435551913964	10.3741509881504	9.82710932395928	10.3324642466245	10.3916263443883	10.118602492962	10.1473689490501	10.111213315813	10.2222490787978	10.2222490787978	10.345382807862
PHGDH	-1.9655	-0.949022832	-1.90485	-1.387	-1.283085454	-0.824596977	4.696283	10.4646865	10.29585295	10.8793222514294	10.8793222514294	10.9681660394244	10.8053557434373	11.1106362971181	10.9255667863591	10.8053557434373	11.0149700347028	10.8606463052882	10.8793222514294	11.0778721639226	10.8673949575479	10.8673949575479	11.1335685466115	10.9246649539801	10.9246649539801
PTTG1	-1.8915	-1.064268952	-1.686974359	-1.224	-2.144596023	-2.069273217	4.467543	8.917508	8.760055573	9.70698008001887	9.73943107655399	9.70978308247151	9.49661463930066	9.73943107655399	9.84363222554428	9.62920728796843	9.90096553475444	9.64576357389582	9.64576357389582	9.82016351633498	9.5118933046682	9.65615062634677	9.89388247464051	9.67253876193881	9.71909836536138
RRM2	-2.567	-0.803239531	-2.46925641	-0.308	-2.035829398	-1.318102035	3.839752	10.3274205	10.15748867	11.8926858335904	11.9044790912057	11.8407304969636	11.4572829897602	11.7975195427187	11.9901061761742	11.9061250657156	11.995137261695	11.8873084276266	11.8894925782445	11.9602632782924	11.5296884692884	11.8546723562208	12.050737146146	11.6248894409279	11.9310309965659
SFRP1	-0.526	2.754784698	-1.08525	-0.0475	-1.641859488	-0.429075398	4.206757	10.361186	10.05478636	11.9733056839195	12.4572659934521	13.2182729255233	12.7270521745265	11.9027822038141	11.7391755698266	12.3787970843328	12.0168334729579	11.908804662972	12.6050030778591	12.3244769531168	12.8849746855618	11.9653805912182	12.4601744371335	12.8345744722994	11.9919320765048
SLC39A6	-0.8825	-0.557500599	-0.477	-0.942	0.079968262	0.090966572	6.728882	12.733075	12.53565184	13.399395468119	13.520262390835	13.520262390835	13.4673778371451	13.6838126940096	13.3511370598777	13.3511711714205	13.5471896111619	13.3511370598777	13.9466967704285	13.2878601047825	13.5141116699842	13.3438283729781	13.3781555337987	13.4202934411853	13.3781555337987
TMEM45B	-1.3705	1.998777205	-1.57915	-0.622	-1.694689158	-0.916975013	0.926741	6.4044815	6.548036591	9.09084441472653	8.85972565543334	8.40978619866655	7.8064514577132	9.09562575853294	9.07649159637492	7.89339823587339	8.02779243841923	9.04045985645574	7.4466247357748	8.8432346744031	7.89735739486257	9.04029257065214	8.89657945006129	7.97334493392908	9.08537921100337
TYMS	-2.795	0.344801316	-2.783052632	-1.963	-2.233947158	-2.345344734	4.249755	9.5341305	9.419438291	9.9402746219215	9.93659417925276	9.99062321326988	9.9369567373117	9.87162423862792	9.88183641727806	9.89897027385167	10.0189440469229	9.95721378908501	9.93659417925276	10.0437389105016	9.90545758992164	9.93485007505604	10.1081178716779	9.98682781850907	10.0019173038123
UBE2C	-1.089	-0.743295045	-2.214897436	-1.121	-1.168991322	-0.574436114	5.071614	9.683988	9.511211739	10.7284513826454	10.7725702898101	10.8007022328512	10.4519256574025	10.6810334909483	10.858875135023	10.4519256574025	10.8844360968349	10.5300314393744	10.8307431919818	10.8594076181516	10.3264403053557	10.6920482480054	10.9670231630105	10.5439080966754	10.5730305378257
UBE2T	-1.723	-0.152282102	-1.557513514	-1.029	-1.277875511	-1.155996763	4.397487	8.99464	8.887009756	10.524676493057	10.524676493057	10.524676493057	10.0695015538271	10.3580090372174	10.6349918067173	10.2211101316388	10.5391566653362	10.3820229327448	10.1712834557658	10.5740074466639	10.0674851999847	10.4668894926177	10.6958171358886	10.1767540878551	10.4197275103513
